mergeName,partyKey,canonicalName,name,abbrev,aka,sector,year,congress,votes,percentage,seats,nomineeNames,reps,representatives_status,status,notes,source_url,note_type,status_flag,ui_red_flag,verification_note,membership_notes,reps_source
Buhay Hayaan Yumabong,buhay-hayaan-yumabong,Buhay Hayaan Yumabong,Buhay Party-List,,Buhay; Buhay Partylist; Buhay Hayaan Yumabong,,2016,17th Congress,760912,2.35,2,Mike Velarde Jr.; Lito Atienza,Mike Velarde Jr.; Lito Atienza,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Abono Partylist,abono-partylist,Abono Partylist,Abono Partylist,,,Agriculture / Farmers,2016,17th Congress,732060,2.26,2,Conrado Estrella III; Vini Nola Ortega,Conrado Estrella III; Vini Nola Ortega,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Anak Mindanao,anak-mindanao,Anak Mindanao,Anak Mindanao,,,Regional,2016,17th Congress,706689,2.18,2,Sitti Djalia Hataman; Makmod Mending Jr.; Amihilda Sangcopan,Sitti Djalia Hataman; Makmod Mending Jr.; Amihilda Sangcopan,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Cooperative NATCCO Network Party,cooperative-natcco-network-party,Cooperative NATCCO Network Party,Coop-NATCCO,,Cooperative NATCCO Network Party; Coop-NATCCO Partylist,Energy / Cooperatives,2016,17th Congress,671699,2.07,2,Anthony Bravo; Sabiniano Canama,Anthony Bravo; Sabiniano Canama,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Akbayan,akbayan,Akbayan,Akbayan,,Akbayan Citizens Action Party; Akbayan Citizens' Action Party; Akbayan Party-list; Akbayan Partylist,,2016,17th Congress,608449,1.88,1,Tom Villarin,Tom Villarin,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Bayan Muna,bayan-muna,Bayan Muna,Bayan Muna,,,,2016,17th Congress,606566,1.87,1,Carlos Isagani Zarate,Carlos Isagani Zarate,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
AGAP Partylist,agap-partylist,AGAP Partylist,AGAP Partylist,,,Agriculture / Farmers,2016,17th Congress,593748,1.83,1,Rico Geron,Rico Geron,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
An Waray,an-waray,An Waray,An Waray,,An Waray Party-list; An Waray Partylist,Regional,2016,17th Congress,590895,1.82,1,Victoria Isabel Noel,Victoria Isabel Noel,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Citizens' Battle Against Corruption,citizens-battle-against-corruption,Citizens' Battle Against Corruption,Citizens' Battle Against Corruption,,CIBAC; Citizens Battle Against Corruption; Citizens' Battle Against Corruption,Anti-crime / Governance,2016,17th Congress,555760,1.72,1,Sherwin Tugna,Sherwin Tugna,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
AAMBIS-Owa Party List,aambis-owa-party-list,AAMBIS-Owa Party List,AAMBIS-Owa Party List,,AAMBIS-Owa; Ang Asosasyon Sang Mangunguma Nga Bisaya-Owa Mangunguma,,2016,17th Congress,495483,1.53,1,Sharon Garin,Sharon Garin,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Kalinga Partylist,kalinga-partylist,Kalinga Partylist,Kalinga Partylist,,,,2016,17th Congress,494725,1.53,1,Abigail Faye Ferriol-Pascual,Abigail Faye Ferriol-Pascual,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
A Teacher Partylist,a-teacher-partylist,A Teacher Partylist,A Teacher Partylist,,A TEACHER; Advocacy for Teacher Empowerment Through Action Cooperation and Harmony Towards Educational Reforms,Education,2016,17th Congress,475488,1.47,1,Julieta Cortuna,Julieta Cortuna,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
You Against Corruption and Poverty,you-against-corruption-and-poverty,You Against Corruption and Poverty,You Against Corruption and Poverty,,,Anti-crime / Governance,2016,17th Congress,471173,1.46,1,Benhur Lopez Jr.,Benhur Lopez Jr.,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Democratic Independent Workers Association,democratic-independent-workers-association,Democratic Independent Workers Association,Democratic Independent Workers Association,,,Labor / Workers / OFW,2016,17th Congress,467794,1.44,1,Emmeline Aglipay-Villar; Pepito Pico,Emmeline Aglipay-Villar; Pepito Pico,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,"Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster. | Emmeline Aglipay-Villar resigned on July 11, 2018; Pepito Pico took office on November 14, 2018.",https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,membership_change,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,"Emmeline Aglipay-Villar resigned on July 11, 2018; Pepito Pico took office on November 14, 2018.",Congress membership list / party page cross-check
Trade Union Congress Party,trade-union-congress-party,Trade Union Congress Party,Trade Union Congress Party,,TUCP; Trade Union Congress Partylist,,2016,17th Congress,467275,1.44,1,Raymond Mendoza,Raymond Mendoza,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Abang Lingkod,abang-lingkod,Abang Lingkod,Abang Lingkod,,,,2016,17th Congress,466701,1.44,1,Joseph Stephen Paduano,Joseph Stephen Paduano,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
LPG Marketers Association,lpg-marketers-association,LPG Marketers Association,LPG Marketers Association,,,Energy / Cooperatives,2016,17th Congress,466103,1.44,1,Arnel Ty,Arnel Ty,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Alliance of Organizations Networks and Associations of the Philippines,alliance-of-organizations-networks-and-associations-of-the-philippines,Alliance of Organizations Networks and Associations of the Philippines,Alliance of Organizations Networks and Associations of the Philippines,,,,2016,17th Congress,434856,1.34,1,,,NEEDS_OFFICIAL_ROSTER_RECHECK,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Not filled: needs official House roster verification for this Congress row
SAGIP Partylist,sagip-partylist,SAGIP Partylist,SAGIP Partylist,,SAGIP; Social Amelioration & Genuine Intervention on Poverty,,2016,17th Congress,397064,1.23,1,Rodante Marcoleta,Rodante Marcoleta,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Butil Farmers Party,butil-farmers-party,Butil Farmers Party,Butil Farmers Party,,,Agriculture / Farmers,2016,17th Congress,395011,1.22,1,Cecilia Leonila Chavez,Cecilia Leonila Chavez,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Acts-Overseas Filipino Workers Coalition of Organizations,acts-overseas-filipino-workers-coalition-of-organizations,Acts-Overseas Filipino Workers Coalition of Organizations,Acts-Overseas Filipino Workers Coalition of Organizations,,,Labor / Workers / OFW,2016,17th Congress,374601,1.16,1,Aniceto Bertiz III,Aniceto Bertiz III,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Anakpawis,anakpawis,Anakpawis,Anakpawis,,,,2016,17th Congress,367376,1.13,1,Ariel Casilao,Ariel Casilao,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Ang Kabuhayan,ang-kabuhayan,Ang Kabuhayan,Ang Kabuhayan,,,,2016,17th Congress,348533,1.08,1,Dennis Laogan,Dennis Laogan,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Angkla: ang Partido ng Pilipinong Marino,angkla-ang-partido-ng-pilipinong-marino,Angkla: ang Partido ng Pilipinong Marino,Angkla: ang Partido ng Pilipinong Marino,,,Labor / Workers / OFW,2016,17th Congress,337245,1.04,1,Jesulito Manalo,Jesulito Manalo,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Ang Mata'y Alagaan,ang-mata-y-alagaan,Ang Mata'y Alagaan,Ang Mata'y Alagaan,,,,2016,17th Congress,331285,1.02,1,,,NEEDS_OFFICIAL_ROSTER_RECHECK,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Not filled: needs official House roster verification for this Congress row
1st Consumers Alliance for Rural Energy,1st-consumers-alliance-for-rural-energy,1st Consumers Alliance for Rural Energy,1st Consumers Alliance for Rural Energy,,1-CARE; 1CARE; First Consumers Alliance for Rural Energy,Energy / Cooperatives,2016,17th Congress,329627,1.02,1,Carlos Roman Uybarreta,Carlos Roman Uybarreta,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Ang National Coalition of Indigenous Peoples Action Na!,ang-national-coalition-of-indigenous-peoples-action-na,Ang National Coalition of Indigenous Peoples Action Na!,Ang National Coalition of Indigenous Peoples Action Na!,,,,2016,17th Congress,318257,0.98,1,Jose Panganiban Jr.,Jose Panganiban Jr.,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Arts Business and Science Professionals,arts-business-and-science-professionals,Arts Business and Science Professionals,Arts Business and Science Professionals,,,,2016,17th Congress,301457,0.93,1,Eugene Michael de Vera; Ulysses Garces,Eugene Michael de Vera; Ulysses Garces,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,"Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster. | Eugene Michael de Vera was removed on November 19, 2018; Ulysses Garces succeeded.",https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,membership_change,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,"Eugene Michael de Vera was removed on November 19, 2018; Ulysses Garces succeeded.",Congress membership list / party page cross-check
Kabataan,kabataan,Kabataan,Kabataan,,Kabataan Partylist; Kabataan Party-list,Youth,2016,17th Congress,300420,0.93,1,Sarah Elago,Sarah Elago,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Bagong Henerasyon,bagong-henerasyon,Bagong Henerasyon,Bagong Henerasyon,,,,2016,17th Congress,299381,0.92,1,Bernadette Herrera,Bernadette Herrera,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Ating Aagapay Sentrong Samahan ng mga Obrero,ating-aagapay-sentrong-samahan-ng-mga-obrero,Ating Aagapay Sentrong Samahan ng mga Obrero,Ating Aagapay Sentrong Samahan ng mga Obrero,,,Agriculture / Farmers,2016,17th Congress,294281,0.91,1,,,NEEDS_OFFICIAL_ROSTER_RECHECK,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Not filled: needs official House roster verification for this Congress row
Serbisyo sa Bayan Party,serbisyo-sa-bayan-party,Serbisyo sa Bayan Party,Serbisyo sa Bayan Party,,,,2016,17th Congress,280465,0.87,1,,,NEEDS_OFFICIAL_ROSTER_RECHECK,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Not filled: needs official House roster verification for this Congress row
Magdalo para sa Pilipino,magdalo-para-sa-pilipino,Magdalo para sa Pilipino,Magdalo para sa Pilipino,,Magdalo; Magdalo Party-List,,2016,17th Congress,279356,0.86,1,Gary Alejano,Gary Alejano,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Una ang Edukasyon,una-ang-edukasyon,Una ang Edukasyon,Una ang Edukasyon,,,Education,2016,17th Congress,278393,0.86,1,Salvador Belaro Jr.,Salvador Belaro Jr.,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Manila Teachers Party-List,manila-teachers-party-list,Manila Teachers Party-List,Manila Teachers Party-List,,,Education,2016,17th Congress,268613,0.83,1,Virgilio Lacson,Virgilio Lacson,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Kusug Tausug,kusug-tausug,Kusug Tausug,Kusug Tausug,,,Regional,2016,17th Congress,247487,0.76,1,Shernee Tan,Shernee Tan,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Aangat Tayo,aangat-tayo,Aangat Tayo,Aangat Tayo,,,,2016,17th Congress,243266,0.75,1,Harlin Neil Abayon III,Harlin Neil Abayon III,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Agbiag! Timpuyog Ilocano,agbiag-timpuyog-ilocano,Agbiag! Timpuyog Ilocano,Agbiag! Timpuyog Ilocano,,,Regional,2016,17th Congress,240723,0.74,1,Patricio Antonio,Patricio Antonio,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2016_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
ACT-CIS Partylist,act-cis-partylist,ACT-CIS Partylist,ACT-CIS Partylist,,ACT-CIS; Anti-Crime and Terrorism Community Involvement and Support,,2019,18th Congress,2651987,9.51,3,Eric Yap; Jocelyn Tulfo; Rowena Niña Taduran,Eric Yap; Jocelyn Tulfo; Rowena Niña Taduran,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2019_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Bayan Muna,bayan-muna,Bayan Muna,Bayan Muna,,,,2019,18th Congress,1117403,4.01,3,Carlos Isagani Zarate; Ferdinand Gaite; Eufemia Cullamat,Carlos Isagani Zarate; Ferdinand Gaite; Eufemia Cullamat,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2019_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Ako Bicol,ako-bicol,Ako Bicol,Ako Bicol,,Ako Bicol Political Party; AKB; Ako Bicol Party-list,Regional,2019,18th Congress,1049040,3.76,2,Alfredo Garbin; Zaldy Co,Alfredo Garbin; Zaldy Co,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2019_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Citizens' Battle Against Corruption,citizens-battle-against-corruption,Citizens' Battle Against Corruption,Citizens' Battle Against Corruption,,CIBAC; Citizens Battle Against Corruption; Citizens' Battle Against Corruption,Anti-crime / Governance,2019,18th Congress,929718,3.33,2,Eddie Villanueva; Domingo Rivera,Eddie Villanueva; Domingo Rivera,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2019_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Ang Probinsyano Party-list,ang-probinsyano-party-list,Ang Probinsyano Party-list,Ang Probinsyano Party-list,,Ang Probinsyano; Ang Probinsyano Partylist,,2019,18th Congress,770344,2.76,2,Alfred delos Santos; Ronnie Ong,Alfred delos Santos; Ronnie Ong,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2019_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
1-Pacman Party List,1-pacman-party-list,1-Pacman Party List,1-Pacman Party List,,1-PACMAN; One Patriotic Coalition of Marginalized Nationals,,2019,18th Congress,713969,2.56,2,Mikee Romero; Enrico Pineda,Mikee Romero; Enrico Pineda,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2019_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Marino Party List,marino-party-list,Marino Party List,Marino Party List,,,Labor / Workers / OFW,2019,18th Congress,681448,2.44,2,Carlo Lisandro Gonzalez; Jose Antonio Lopez; Macnell Lusotan,Carlo Lisandro Gonzalez; Jose Antonio Lopez; Macnell Lusotan,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,"Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster. | Jose Antonio Lopez resigned July 25, 2019; Macnell Lusotan took office November 4, 2019.",https://en.wikipedia.org/wiki/Template:2019_Philippine_House_party-list_election_results,membership_change,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,"Jose Antonio Lopez resigned July 25, 2019; Macnell Lusotan took office November 4, 2019.",Congress membership list / party page cross-check
Probinsyano Ako,probinsyano-ako,Probinsyano Ako,Probinsyano Ako,,,,2019,18th Congress,630435,2.26,2,Rudys Caesar Fariñas; Jose Singson Jr.,Rudys Caesar Fariñas; Jose Singson Jr.,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:2019_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
